metric,value,ci_lo,ci_hi
ap50,0.4951,0.3744,0.6049
ap75,0.2310,,
map_50_95,0.2701,,
ap_small,0.4951,,
ap_medium,,,
ap_large,,,
ar1,0.1333,,
ar10,0.6583,,
ar100,1.0000,,
precision_opt_f1,0.5714,0.5000,0.8000
recall_opt_f1,0.6154,0.3636,0.7470
f1_opt,0.5926,0.5000,0.6418
conf_threshold_opt,0.6287,,
cpm,0.3846,,
pauc_froc,0.5790,,
sens_fp0125,0.0769,,
sens_fp025,0.0769,,
sens_fp05,0.1538,,
sens_fp10,0.4615,,
sens_fp20,0.6154,,
sens_fp40,0.6154,,
sens_fp80,0.6923,,
count_pearson_r,0.8729,,
count_spearman_r,0.8208,,
count_mae,1.0000,,
count_rmse,1.3416,,
count_medae,1.0000,,
n_images,5.0000,,
n_gt_total,13.0000,,
