stem,dice_background,dice_srf,dice_irf,dice_elm,dice_ez
72_10,0.989882,,0.86314,0.547474,0.342876
72_11,0.989518,,0.855683,0.516086,0.503871
72_12,0.990448,,0.819905,0.674235,0.45766
72_13,0.990965,,0.851869,0.594435,0.304141
72_14,0.99007,,0.807716,0.541523,0.402831
72_15,0.991412,,0.792058,0.590078,0.475325
72_16,0.991654,,0.799059,0.582196,0.36889
72_17,0.991604,,0.816145,0.499148,0.360258
72_18,0.991822,,0.762408,0.366779,0.282981
72_19,0.991793,,0.724575,0.462978,0.490744
72_2,0.991266,,0.700025,0.512858,0.588633
72_20,0.993945,,0.762179,0.60008,0.329049
72_21,0.993949,,0.807553,0.678717,0.244262
72_3,0.992475,,0.904037,0.50378,0.311771
72_4,0.99117,,0.838941,0.597222,0.332786
72_5,0.991234,,0.80998,0.590858,0.3694
72_6,0.991617,,0.791076,0.486657,0.685942
72_7,0.990724,,0.72284,0.53461,0.554036
72_8,0.991773,,0.849379,0.61189,0.558276
72_9,0.989324,,0.786239,0.507303,0.504202
73_1,0.979425,0.923119,0.787138,,0.457216
73_10,0.978258,0.929994,0.801674,,0.541254
73_11,0.977314,0.925065,0.829208,,0.289796
73_12,0.978684,0.947452,0.823516,,0.410256
73_13,0.978723,0.945674,0.83541,,0.429652
73_14,0.976493,0.937622,0.79294,,0.082803
73_15,0.98108,0.927195,0.849903,,0.685358
73_16,0.975759,0.915929,0.785808,,0.502994
73_17,0.977377,0.909478,0.826439,,0.228571
73_18,0.980247,0.915099,0.849349,,0.61745
73_19,0.978656,0.908007,0.842417,,0.475822
73_2,0.980283,0.911952,0.847468,0.0,0.292367
73_20,0.979482,0.909414,0.83627,,0.618123
73_21,0.980961,0.922718,0.849926,,0.5
73_3,0.980961,0.936141,0.821667,0.0,0.383562
73_4,0.976505,0.925178,0.769575,,0.414773
73_5,0.979322,0.915877,0.832671,,0.132331
73_6,0.976702,0.920437,0.784903,0.0,0.293333
73_7,0.982575,0.941205,0.823864,,0.763524
73_8,0.977015,0.929559,0.809323,,0.446064
73_9,0.976483,0.932581,0.716836,,0.642487
74_1,0.990454,0.872774,0.767353,0.040698,0.269071
74_10,0.989856,0.930691,0.770538,0.0,0.113636
74_11,0.990113,0.888107,0.779195,,0.362685
74_12,0.991428,0.88141,0.839623,0.142857,0.482325
74_13,0.991552,0.92961,0.800308,0.009662,0.352201
74_14,0.992393,0.917504,0.843939,0.534759,0.435601
74_15,0.990033,0.815125,0.816392,0.369099,0.372294
74_16,0.992065,0.921848,0.808124,0.53012,0.4478
74_17,0.990513,0.863107,0.750847,0.270758,0.46496
74_18,0.993211,0.874813,0.833025,0.411215,0.518182
74_19,0.991669,0.866258,0.765483,0.289562,0.390031
74_2,0.987944,0.864373,0.802896,0.067114,0.486647
74_20,0.991282,0.809104,0.717217,0.576087,0.312871
74_21,0.99351,0.876487,0.778859,0.0,0.55512
74_3,0.988332,0.880428,0.678364,0.0,0.393717
74_4,0.991479,0.912055,0.765567,,0.469027
74_5,0.991118,0.919013,0.862161,,0.382234
74_6,0.989894,0.913038,0.775524,0.0,0.491071
74_7,0.990792,0.928103,0.828458,0.183406,0.555035
74_8,0.990012,0.930259,0.708198,0.0,0.554106
74_9,0.990753,0.881338,0.82108,0.0,0.543478
75_1,0.988005,,0.80079,0.462212,0.627535
75_10,0.987313,,0.878315,0.321855,0.59411
75_11,0.988203,,0.848015,0.342449,0.63322
75_12,0.987385,,0.882268,0.23662,0.549734
75_13,0.984954,,0.84759,0.23407,0.49812
75_14,0.98519,,0.834167,0.434926,0.500233
75_15,0.987336,,0.882529,0.304878,0.659445
75_16,0.988636,,0.875005,0.354067,0.531897
75_17,0.988009,,0.887105,0.216366,0.429048
75_18,0.985206,,0.827238,0.575,0.636629
75_19,0.986228,,0.840056,0.339713,0.437086
75_2,0.987714,,0.803104,0.410835,0.571542
75_20,0.98925,,0.865572,0.487518,0.603191
75_21,0.986433,,0.83778,0.328289,0.537187
75_22,0.988197,,0.85706,0.454118,0.632976
75_23,0.989371,,0.868496,0.52687,0.577075
75_24,0.988685,,0.843646,0.432383,0.566516
75_3,0.98568,,0.772464,0.533582,0.504391
75_4,0.988822,,0.78,0.382775,0.624226
75_5,0.989162,,0.81085,0.226772,0.65831
75_6,0.988124,,0.806225,0.297794,0.557476
75_7,0.986632,,0.830736,0.313297,0.45577
75_8,0.98854,,0.836949,0.518868,0.502862
75_9,0.988097,,0.865659,0.244444,0.511955
76_1,0.99231,0.91784,0.390141,,0.605214
76_10,0.987544,0.907204,0.704216,0.020408,0.715376
76_11,0.987358,0.91895,0.803005,0.175365,0.498195
76_12,0.986513,0.911294,0.737462,0.0,0.685484
76_13,0.988328,0.924357,0.800161,0.0,0.710579
76_14,0.987382,0.896469,0.599341,0.0,0.753122
76_15,0.990857,0.872377,0.689977,0.019802,0.617673
76_16,0.992642,0.855197,0.737481,,0.623693
76_2,0.993663,0.930185,0.751025,,0.501992
76_3,0.991523,0.929067,0.704442,,0.523622
76_4,0.988146,0.861286,0.585162,,0.598662
76_5,0.989536,0.905539,0.848822,,0.610009
76_6,0.987142,0.882626,0.583382,,0.639927
76_7,0.987888,0.9196,0.797534,,0.579245
76_8,0.987068,0.919829,0.777926,0.091168,0.732535
76_9,0.9898,0.917342,0.720163,0.0,0.630189
77_1,0.994632,0.836331,0.722622,0.339152,0.150628
77_10,0.988461,0.819998,0.842619,0.0,0.0
77_11,0.992639,0.918821,0.870932,0.0,0.0
77_12,0.989839,0.870235,0.83935,0.0,0.0
77_13,0.989227,0.847711,0.888138,0.0,0.0
77_14,0.990969,0.882536,0.915269,,
77_15,0.990744,0.892782,0.902698,0.0,
77_16,0.989918,0.931295,0.888107,0.0,0.0
77_17,0.985971,0.852736,0.883845,,0.096677
77_18,0.98726,0.888062,0.911091,,0.054264
77_19,0.988115,0.895052,0.921781,0.222222,0.083916
77_2,0.994385,0.755562,0.701597,0.0,
77_20,0.986823,0.921725,0.904666,,0.0
77_21,0.986909,0.940059,0.899324,,0.0
77_3,0.99238,0.847953,0.798899,0.0,0.0
77_4,0.991938,0.806408,0.780804,0.416667,0.0
77_5,0.988033,0.793775,0.692104,0.14433,
77_6,0.992746,0.915459,0.823961,0.381944,0.037559
77_7,0.993081,0.921898,0.855919,0.0,0.102857
77_8,0.990987,0.880268,0.853341,0.0,0.0
77_9,0.991159,0.899455,0.839071,0.387833,0.170819
78_1,0.984454,,0.8268,0.0,0.272615
78_10,0.973553,0.901749,0.885527,0.022284,0.200133
78_11,0.975718,0.89483,0.835636,,0.192377
78_12,0.974612,0.895436,0.858413,0.181818,0.403869
78_13,0.975857,0.835124,0.871713,0.0,0.250633
78_14,0.973337,0.888581,0.833375,,0.698002
78_15,0.97122,0.899797,0.805926,0.0,0.2403
78_16,0.971935,0.880823,0.84266,0.0,0.349586
78_17,0.975014,0.906284,0.849723,0.321101,0.322467
78_18,0.973757,0.906565,0.830237,,0.408031
78_19,0.96973,0.904903,0.781221,0.0,0.086164
78_2,0.986006,,0.844261,,0.529412
78_20,0.972476,0.906214,0.82444,0.0,0.351375
78_21,0.972786,0.872232,0.824051,,0.160804
78_22,0.979394,0.892311,0.805125,,0.496212
78_23,0.97596,0.777641,0.783639,,0.377099
78_24,0.979404,0.601491,0.789395,,0.153348
78_25,0.978186,0.74232,0.720259,,0.330189
78_26,0.98111,,0.781216,0.0,0.40797
78_27,0.974964,,0.704627,0.0,0.391831
78_3,0.981331,,0.851898,0.0,0.403207
78_4,0.98013,0.0,0.844108,0.090323,0.209019
78_5,0.977313,,0.784035,0.566757,0.333094
78_6,0.982209,,0.814373,0.0,0.330046
78_7,0.980211,,0.816122,0.311111,0.474857
78_8,0.971864,0.812988,0.712358,0.0,0.449739
78_9,0.970721,0.76811,0.756341,0.236559,0.33506
79_1,0.994072,0.841438,0.613165,0.543239,0.744123
79_10,0.986791,0.87432,0.768601,0.257848,0.681948
79_11,0.986347,0.859641,0.774678,0.450847,0.560209
79_12,0.987157,0.807424,0.820335,0.662338,0.546535
79_13,0.987549,0.830504,0.820553,0.0,0.578538
79_14,0.986588,0.797457,0.734516,0.02974,0.12766
79_15,0.987237,0.85603,0.818638,0.250639,0.1854
79_16,0.987202,0.76813,0.818983,0.465969,0.342105
79_17,0.990743,0.85668,0.891818,0.391084,0.707692
79_18,0.990128,0.880063,0.788034,0.412951,0.655044
79_19,0.986852,0.910561,0.765089,0.525745,0.554774
79_2,0.990063,0.873482,0.75,0.610501,0.630816
79_20,0.98461,0.825076,0.821417,0.415287,0.601078
79_21,0.989321,0.903455,0.859417,0.365385,0.75
79_22,0.988421,0.874839,0.811303,0.674797,0.64986
79_3,0.990829,0.781232,0.855551,0.577778,0.607268
79_4,0.989738,0.912757,0.885802,0.240819,0.587447
79_5,0.991544,0.903051,0.898033,0.529691,0.630905
79_6,0.989583,0.890879,0.870997,0.290141,0.581197
79_7,0.988176,0.895258,0.821058,0.335283,0.556304
79_8,0.988905,0.878708,0.873334,0.396648,0.491262
79_9,0.983419,0.857845,0.765726,0.392727,0.533333
7_1,0.986258,,0.806198,,0.020513
7_10,0.989626,,0.883234,,0.0
7_11,0.987357,,0.867762,,
7_12,0.984653,,0.880096,,
7_13,0.986809,,0.903691,,
7_14,0.988338,,0.867246,,
7_15,0.981949,,0.839149,,0.0
7_16,0.985449,,0.896639,,0.0
7_17,0.984438,,0.860585,,0.0
7_2,0.988578,,0.835633,,0.0
7_3,0.988057,,0.809201,,
7_4,0.98199,,0.756339,,0.192308
7_5,0.964509,,0.663725,,0.0
7_6,0.983417,,0.842776,,0.0
7_7,0.983439,,0.820263,,0.0
7_8,0.97514,,0.756467,,
7_9,0.984986,,0.865913,,
80_1,0.984763,,0.739939,0.3724,0.241443
80_10,0.986958,,0.843911,0.441582,0.352941
80_11,0.986193,,0.820237,0.232892,0.460752
80_12,0.98757,,0.86245,0.319082,0.227209
80_13,0.987604,,0.881425,0.432468,0.496469
80_14,0.987998,,0.883325,0.441975,0.553869
80_15,0.990517,,0.901873,0.613005,0.449265
80_16,0.990798,,0.901315,0.465309,0.591952
80_17,0.99135,,0.882747,0.448007,0.66213
80_18,0.989366,,0.834833,0.402315,0.406721
80_19,0.992619,,0.81605,0.649616,0.519547
80_2,0.980054,,0.673212,0.307286,0.295439
80_20,0.992318,,0.815695,0.584597,0.485539
80_21,0.991527,,0.773363,0.411171,0.515913
80_22,0.98981,,0.647936,0.345528,0.340712
80_23,0.983691,,0.740772,0.426881,0.461538
80_24,0.98354,,0.774789,0.308271,0.46535
80_3,0.981865,,0.712,0.358183,0.459812
80_4,0.984694,,0.773295,0.425136,0.471292
80_5,0.983878,,0.769797,0.387372,0.421864
80_6,0.984803,,0.800023,0.341607,0.427363
80_7,0.982121,,0.734272,0.395516,0.401008
80_8,0.986224,,0.777044,0.35159,0.433577
80_9,0.984805,,0.810724,0.365714,0.348339
81_1,0.996418,,0.829596,0.461658,0.323882
81_10,0.994193,,0.71156,0.504318,0.445029
81_11,0.994942,,0.761541,0.337662,0.505155
81_12,0.993725,,0.752029,0.439083,0.494599
81_13,0.995416,,0.830731,0.464485,0.639529
81_14,0.995065,,0.797566,0.286263,0.721754
81_15,0.994806,,0.742985,0.509459,0.635258
81_16,0.995051,,0.574526,0.649899,0.529648
81_17,0.99538,,0.723404,0.490741,0.522591
81_18,0.995283,,0.734535,0.384287,0.535359
81_19,0.995343,,0.800954,0.337818,0.487761
81_2,0.996046,,0.771084,0.291353,0.564471
81_20,0.995189,,0.678112,0.205426,0.459805
81_21,0.995086,,0.637022,0.378995,0.435424
81_3,0.995864,,0.699013,0.453782,0.51141
81_4,0.996252,,0.733179,0.389583,0.504717
81_5,0.995748,,0.681658,0.294821,0.515625
81_6,0.996029,,0.85735,0.377665,0.606183
81_7,0.994808,,0.713755,0.582011,0.534997
81_8,0.994259,,0.728818,0.447076,0.541381
81_9,0.994309,,0.734478,0.491009,0.477876
82_1,0.983584,0.88685,0.766936,,0.486891
82_10,0.982592,0.821085,0.70814,,0.750725
82_11,0.986223,0.852113,0.808404,,0.575342
82_12,0.98369,0.870344,0.745254,,0.525285
82_2,0.986038,0.90462,0.7717,,0.613682
82_3,0.982586,0.872059,0.752902,,0.527179
82_4,0.983554,0.850539,0.787812,,0.464774
82_5,0.989412,0.883595,0.827311,,0.529111
82_6,0.989078,0.822828,0.804327,,0.53965
82_7,0.9904,0.833679,0.786236,,0.544086
82_8,0.991329,0.861042,0.76912,,0.678621
82_9,0.982762,0.896164,0.67129,,0.495278
83_1,0.994258,0.719822,,0.339394,0.381632
83_10,0.994524,0.875625,,0.150754,0.329941
83_11,0.993538,0.764053,,0.221675,0.464658
83_12,0.994407,0.824583,,0.324409,0.428305
83_13,0.994295,0.82558,0.0,0.372093,0.49442
83_14,0.993051,0.778338,0.519457,0.0,0.460218
83_15,0.993436,0.824555,0.669035,0.206186,0.347887
83_16,0.99394,0.838159,0.639218,0.484472,0.446372
83_17,0.992276,0.803186,0.523268,0.186715,0.416033
83_18,0.991955,0.72471,0.664653,0.229199,0.245587
83_19,0.991798,0.797975,0.62577,0.273717,0.197115
83_2,0.994209,0.714104,,0.324444,0.259219
83_20,0.993061,0.809668,0.698636,0.414508,0.570853
83_21,0.991418,0.809417,0.649861,0.291971,0.31825
83_22,0.991039,0.717638,0.629446,0.152334,0.409195
83_3,0.994853,0.709934,,0.161832,0.567581
83_4,0.99484,0.700754,,0.331691,0.477482
83_5,0.995147,0.824077,,0.338216,0.420176
83_6,0.994885,0.797315,,0.264286,0.455897
83_7,0.995428,0.814542,,0.258824,0.516878
83_8,0.993645,0.745363,,0.254925,0.320551
83_9,0.994302,0.730435,,0.161616,0.607161
85_1,0.990877,,0.847578,0.552913,0.465977
85_10,0.990978,,0.857321,0.475897,0.652015
85_11,0.991515,,0.900888,0.526369,0.578847
85_12,0.990709,,0.884688,0.43641,0.51645
85_13,0.9911,,0.828918,0.51046,0.525617
85_14,0.99078,,0.843373,0.53875,0.422831
85_15,0.992317,,0.882878,0.578974,0.512897
85_16,0.991739,,0.828015,0.5469,0.578286
85_17,0.991974,,0.808017,0.461632,0.555556
85_18,0.99204,,0.77732,0.37868,0.641481
85_19,0.992164,,0.807337,0.613924,0.62641
85_2,0.992349,,0.87547,0.539833,0.55196
85_20,0.991862,,0.791566,0.379028,0.523772
85_21,0.991484,,0.743689,0.59172,0.5
85_22,0.991109,,0.763213,0.409333,0.628464
85_23,0.990544,,0.739717,0.324201,0.605572
85_24,0.990616,,0.743157,0.403524,0.599781
85_3,0.991769,,0.82637,0.648245,0.553425
85_4,0.990337,,0.834473,0.61726,0.642213
85_5,0.991062,,0.915154,0.462118,0.539773
85_6,0.991638,,0.915691,0.499117,0.502667
85_7,0.992403,,0.906795,0.45062,0.643216
85_8,0.99124,,0.88848,0.382045,0.519168
85_9,0.990851,,0.862646,0.48895,0.448529
86_1,0.993488,,0.765488,,0.312195
86_10,0.992175,0.0,0.802183,,0.45629
86_11,0.993132,,0.838409,,0.550943
86_12,0.988774,,0.802785,,0.260638
86_13,0.993628,,0.80538,,0.48366
86_14,0.993206,,0.841068,,0.71785
86_15,0.992715,,0.802262,,0.0
86_16,0.991412,,0.759431,0.0,0.0
86_2,0.990323,,0.753383,,0.577352
86_3,0.990915,,0.831365,0.0,0.536862
86_4,0.991894,,0.842755,,0.552189
86_5,0.991249,,0.817959,,0.617647
86_6,0.990655,,0.79018,0.0,0.779503
86_7,0.990287,,0.753541,,0.368821
86_8,0.992665,,0.722368,0.0,0.138182
86_9,0.993489,,0.829655,,0.414376
